epoch,trainloss,validloss,validacc
188,0.39418,0.29782,0.90662
189,0.39822,0.29588,0.90812
190,0.39256,0.29414,0.90845
191,0.39212,0.29314,0.90964
192,0.39346,0.30489,0.90575
193,0.39455,0.30163,0.90555
194,0.39389,0.29709,0.9068
195,0.39301,0.29909,0.906
196,0.3925,0.29719,0.90637
197,0.38602,0.29677,0.90642
198,0.39075,0.30213,0.90463
199,0.392,0.29547,0.90797
200,0.39362,0.29288,0.90842
