epoch,trainloss,validloss,validacc
1,2.1234,1.63972,0.42925
2,1.3571,0.82583,0.73605
3,0.86395,0.49858,0.84125
4,0.62658,0.37853,0.88119
5,0.50781,0.29024,0.9076
6,0.43626,0.25892,0.91643
7,0.38755,0.23765,0.9227
8,0.35596,0.22351,0.92784
9,0.33195,0.20436,0.93176
10,0.30737,0.191,0.93757
11,0.29209,0.1817,0.93987
12,0.27792,0.17418,0.94327
13,0.26588,0.16627,0.94529
14,0.25452,0.16335,0.94703
15,0.24637,0.15565,0.95018
16,0.23471,0.15399,0.95053
17,0.2285,0.15564,0.94996
18,0.22145,0.14113,0.95467
19,0.21613,0.13949,0.95664
20,0.20878,0.1368,0.95627
21,0.20208,0.12914,0.95897
22,0.19802,0.12894,0.95852
23,0.19401,0.13178,0.95832
24,0.19032,0.12538,0.96046
25,0.18518,0.12097,0.96189
26,0.18245,0.12288,0.96081
27,0.17559,0.12397,0.96119
28,0.17583,0.12218,0.96214
29,0.1718,0.11551,0.96291
30,0.16974,0.11715,0.96311
31,0.16623,0.12029,0.96368
32,0.15895,0.1133,0.96486
33,0.16217,0.11582,0.96358
34,0.15665,0.10931,0.96598
35,0.15428,0.10957,0.96615
36,0.15489,0.11546,0.96371
37,0.14945,0.10725,0.96678
38,0.14789,0.1089,0.96633
39,0.14835,0.10998,0.96578
40,0.14455,0.11156,0.96506
41,0.14202,0.10818,0.96645
42,0.14228,0.10312,0.968
43,0.14156,0.10607,0.96735
44,0.13832,0.10675,0.96718
45,0.13392,0.10143,0.96917
46,0.13444,0.10208,0.96818
47,0.13343,0.101,0.96863
48,0.13363,0.10034,0.9689
49,0.13036,0.09857,0.96925
50,0.1299,0.10137,0.96922
51,0.12797,0.10209,0.96887
52,0.12741,0.10091,0.9693
53,0.12533,0.09856,0.97022
54,0.12298,0.09526,0.97072
55,0.12455,0.09477,0.97065
56,0.12316,0.0958,0.97025
57,0.12175,0.09413,0.971
58,0.1204,0.09555,0.9708
59,0.1179,0.09765,0.97012
60,0.11738,0.09414,0.97142
61,0.11622,0.09559,0.96975
62,0.11452,0.0971,0.9701
63,0.11405,0.09433,0.97157
64,0.11523,0.09507,0.97122
65,0.11327,0.09389,0.97152
66,0.11248,0.09134,0.97259
67,0.10995,0.09348,0.97214
68,0.11007,0.09392,0.97197
69,0.10966,0.09287,0.9716
70,0.10823,0.09416,0.97092
71,0.10823,0.09099,0.97192
72,0.10746,0.09044,0.97204
73,0.10609,0.0924,0.97224
74,0.10551,0.096,0.97135
75,0.10492,0.09187,0.97314
76,0.10369,0.09404,0.97152
77,0.10438,0.09357,0.9718
78,0.10322,0.09071,0.97287
79,0.10248,0.09185,0.97219
80,0.10185,0.09156,0.97212
81,0.10181,0.09718,0.97167
82,0.10083,0.08886,0.97279
83,0.1005,0.09623,0.97047
84,0.10034,0.09368,0.97155
