epoch,trainloss,validloss,validacc
85,0.09902,0.08938,0.97249
86,0.0972,0.09114,0.97294
87,0.09841,0.08553,0.97397
88,0.09659,0.09196,0.97262
89,0.09818,0.08489,0.97397
90,0.09628,0.08951,0.97234
91,0.09518,0.08802,0.97372
92,0.09493,0.08992,0.97264
93,0.09586,0.09279,0.97224
94,0.09363,0.09317,0.97222
95,0.09392,0.08834,0.97307
96,0.09338,0.08867,0.97352
97,0.09152,0.0871,0.97307
98,0.09017,0.08848,0.97374
99,0.09043,0.0862,0.97377
100,0.0915,0.08876,0.97372
101,0.091,0.09075,0.97297
102,0.08906,0.08969,0.97262
103,0.08978,0.08701,0.97364
104,0.09108,0.08953,0.97327
105,0.09011,0.08496,0.97352
106,0.08688,0.08446,0.97457
107,0.08809,0.08813,0.97434
108,0.08913,0.08617,0.97379
109,0.0892,0.08781,0.97379
110,0.08656,0.08546,0.97362
111,0.08858,0.08631,0.97422
112,0.08583,0.08478,0.97364
113,0.08347,0.0877,0.97479
114,0.08699,0.08501,0.97367
115,0.08402,0.08616,0.97449
116,0.08485,0.08387,0.97432
117,0.08317,0.08863,0.97424
118,0.08222,0.08851,0.97332
119,0.0835,0.08571,0.97359
120,0.08377,0.08406,0.97414
121,0.08293,0.08519,0.97407
122,0.08135,0.08459,0.97454
123,0.0806,0.08728,0.97469
124,0.08131,0.08423,0.97397
125,0.08068,0.08299,0.97472
126,0.08065,0.08781,0.97516
127,0.08053,0.08701,0.97412
128,0.07873,0.08077,0.97389
129,0.07979,0.08318,0.97539
130,0.07836,0.08397,0.97477
131,0.0775,0.08286,0.97506
132,0.07893,0.08552,0.97489
133,0.07644,0.08512,0.97487
134,0.07826,0.08256,0.97454
135,0.07771,0.08899,0.97519
136,0.07771,0.08652,0.97472
137,0.07753,0.08444,0.97444
138,0.07825,0.0896,0.97407
139,0.07619,0.08613,0.97364
140,0.07766,0.08601,0.97432
141,0.07719,0.08581,0.97509
142,0.07685,0.08344,0.97419
143,0.07652,0.08331,0.97641
144,0.07476,0.08578,0.97566
145,0.07471,0.0851,0.97506
146,0.07451,0.08381,0.97544
147,0.07368,0.08489,0.97546
148,0.07431,0.08585,0.97442
149,0.07662,0.08285,0.97467
150,0.07474,0.08477,0.97494
151,0.0742,0.08196,0.97506
152,0.07287,0.08487,0.97564
153,0.0732,0.08516,0.97492
154,0.07244,0.0827,0.97422
155,0.07314,0.08493,0.97594
156,0.07263,0.08571,0.97494
157,0.07051,0.0885,0.97506
158,0.07163,0.08319,0.97399
159,0.07286,0.08379,0.97536
160,0.07125,0.08848,0.97489
161,0.07246,0.08795,0.97374
162,0.07134,0.08319,0.97452
163,0.07177,0.08424,0.97479
164,0.06939,0.08155,0.97586
165,0.07123,0.08348,0.97596
166,0.07101,0.08145,0.97482
167,0.06982,0.08286,0.97616
168,0.0687,0.08377,0.97561
169,0.06989,0.08414,0.97514
170,0.06978,0.0843,0.97544
171,0.07072,0.08394,0.97511
172,0.06871,0.08413,0.97479
173,0.06982,0.08301,0.97477
174,0.06876,0.0816,0.97524
175,0.06832,0.08397,0.97594
176,0.06972,0.08523,0.97501
177,0.06818,0.08613,0.97531
178,0.06865,0.08477,0.97521
179,0.06797,0.08266,0.97489
180,0.06804,0.08384,0.97534
181,0.06736,0.08374,0.97566
182,0.06674,0.08165,0.97516
183,0.06659,0.08259,0.97574
184,0.06834,0.08258,0.97564
185,0.06682,0.0854,0.97561
186,0.06578,0.08252,0.97479
187,0.06755,0.07978,0.97564
188,0.06608,0.0806,0.97624
189,0.06577,0.08153,0.97579
190,0.06573,0.08023,0.97589
191,0.06627,0.08265,0.97571
192,0.06649,0.08347,0.97546
193,0.0657,0.08312,0.97541
194,0.06424,0.08212,0.97586
195,0.06662,0.08261,0.97539
196,0.06498,0.07957,0.97524
197,0.0651,0.08337,0.97641
198,0.06371,0.08469,0.97564
199,0.06359,0.0816,0.97544
200,0.06595,0.0816,0.97584
