epochs,trainloss,valloss,valacc
188,0.12887,0.11122,0.96625
189,0.12809,0.11041,0.9676
190,0.12788,0.10998,0.96665
191,0.12995,0.10776,0.96788
192,0.12778,0.1121,0.96563
193,0.13044,0.10937,0.96675
194,0.12773,0.10911,0.9668
195,0.12807,0.10755,0.96688
196,0.12803,0.10806,0.9668
197,0.13077,0.10855,0.96658
198,0.12692,0.10665,0.9678
199,0.12692,0.11157,0.96645
200,0.12967,0.10561,0.96728
